Component	ES2015 (non-MDC)	ES2015 (MDC)	Theme CSS (non-MDC)	Theme CSS (MDC)	Base CSS (non-MDC)	Base CSS (MDC)
app-forms	204774	209266	32026	65653	34120	54443
app-kitchen-sink	251252	260879	48404	108513	60182	103559
button	140205	136287	6874	9841	6663	5181
card	115922	115424	564	2484	2494	4022
checkbox	156448	150331	2251	16727	6962	10180
chips	189717	177833	1947	23711	3065	22404
form-field	162847	215040	8283	18001	14588	30158
menu	296072	297303	2236	4439	1886	2900
progress-bar	131542	124967	606	1806	5038	6238
radio	152305	157077	2416	5228	2483	4323
slider	151238	145983	2790	0	7896	462
slide-toggle	153827	143751	1730	4903	2996	4173
snack-bar	200569	201098	387	2110	7359	10713
table	157649	157909	555	5630	1805	7264
tabs	251351	249552	10873	8127	4306	6254
